,car,glass,plate,truck,Vehicles,Dinnerware,closer2vehicles,closer2dinnerware,,,,,c2v,c2d
105,0.003122807,0.004555285,0.006525576,0.002803802,0.002963305,0.005540431,TRUE,FALSE,,1,0,,,
106,0.00258702,0.00243187,0.003408432,0.004547238,0.003567129,0.002920151,FALSE,TRUE,,0,1,,,
107,0.002471209,0.002503157,0.002075315,0.001623452,0.00204733,0.002289236,TRUE,FALSE,,1,0,,,
108,0.002266586,0.003453791,0.00334686,0.002895415,0.002581,0.003400326,TRUE,FALSE,,1,0,,,
109,0.002757609,0.002118647,0.003128469,0.001944721,0.002351165,0.002623558,TRUE,FALSE,,1,0,,,
110,0.003026724,0.004513025,0.002656281,0.002477586,0.002752155,0.003584653,TRUE,FALSE,,1,0,,,
111,0.001380801,0.001771986,0.001960099,0.002275407,0.001828104,0.001866043,TRUE,FALSE,,1,0,,,
112,0.003284037,0.003415287,0.002732813,0.001951635,0.002617836,0.00307405,TRUE,FALSE,,1,0,,,
113,0.002555728,0.001913965,0.003199637,0.003380001,0.002967864,0.002556801,FALSE,TRUE,,0,1,,,
114,0.004026532,0.003633618,0.002879858,0.003184557,0.003605545,0.003256738,FALSE,TRUE,,0,1,,,
115,0.003697574,0.005452633,0.002695441,0.003222585,0.003460079,0.004074037,TRUE,FALSE,,1,0,,,
116,0.001842022,0.001846313,0.002871215,0.002238154,0.002040088,0.002358764,TRUE,FALSE,,1,0,,,
117,0.001209021,0.002451777,0.002375305,0.001443505,0.001326263,0.002413541,TRUE,FALSE,,1,0,,,
118,0.002128124,0.001888156,0.002471626,0.002147019,0.002137572,0.002179891,TRUE,FALSE,,1,0,,,
119,0.00185883,0.00169009,0.001537561,0.002000272,0.001929551,0.001613826,FALSE,TRUE,,0,1,,,
120,0.002686799,0.002710819,0.002624094,0.003981948,0.003334373,0.002667457,FALSE,TRUE,,0,1,,,
121,0.002225518,0.003695071,0.001925945,0.002143204,0.002184361,0.002810508,TRUE,FALSE,,1,0,,,
122,0.003404677,0.004047573,0.004770458,0.004717648,0.004061162,0.004409015,TRUE,FALSE,,1,0,,,
123,0.001837432,0.002293587,0.002499759,0.002548933,0.002193183,0.002396673,TRUE,FALSE,,1,0,,,
124,0.002781689,0.001445234,0.003580332,0.003617883,0.003199786,0.002512783,FALSE,TRUE,,0,1,,,
